Commodity,Specification,Malolos City Public Market,City of Malolos Public Market
Cabbage (Scorpio),750GM-1KG/HEAD,80.0,80.0
Carrots,8-10PCS/KG,80.0,100.0
Habichuelas (Baguio Bean),KG,160.0,100.0
White Potato,10-12PCS/KG,120.0,80.0
Pechay (Baguio),KG,90.0,60.0
Chayote,KG,50.0,50.0
Broccoli,MEDIUM (8-10CM DIAMETER/BUNCH HD),200.0,200.0
Cauliflower,MEDIUM (8-10CM DIAMETER/BUNCH HD),220.0,110.0
Bell Pepper (Green),MEDIUM (151-250GM/PC),,
Bell Pepper (Red),MEDIUM (151-250GM/PC),200.0,200.0
Celery,MEDIUM (501-800 G),160.0,
Cabbage (Rare Ball),510GM-1KG/HEAD,,
Cabbage (Wonder Ball),510GM-1KG/HEAD,,
Lettuce (Green Ice),KG,,
Lettuce (Iceberg),MEDIUM(301-450CM DIAMETER/BUNCH HD),,
Lettuce (Romaine),KG,,
