0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
Cabbage (Scorpio),750GM-1KG/HEAD,,,70.0,,60.0,100.0,,80.0,80.0,80.0,,40.0,,70.0,,,60.0,50.0,,80.0,80.0,,60.0,60.0,80.0,70.0,40.0,,,90.0,150.0,100.0,120.0,100.0,80.0,40.0,80.0,80.0,140.0,60.0,140.0,50.0,80.0,90.0,70.0,60.0,,,65.0,70.0,50.0,40.0,,60.0,,80.0,50.0,80.0,,,50.0,100.0,60.0,50.0,70.0,70.0,60.0,,80.0,60.0,80.0,100.0,,80.0,100.0,,70.0,120.0,70.0,60.0,100.0,120.0,70.0,80.0,,70.0,50.0,50.0,70.0,80.0,60.0,,,35.0,,55.0,70.0,70.0,60.0,60.0,120.0,,80.0,,100.0,,40.0,50.0,40.0,80.0,40.0,,,40.0,90.0,80.0,60.0,50.0
Carrots,8-10PCS/KG,,50.0,100.0,120.0,170.0,100.0,,80.0,120.0,120.0,,120.0,80.0,80.0,,,80.0,80.0,80.0,80.0,,,80.0,120.0,170.0,75.0,120.0,250.0,80.0,,120.0,80.0,,120.0,100.0,70.0,130.0,170.0,160.0,140.0,150.0,70.0,70.0,100.0,90.0,70.0,,100.0,110.0,90.0,80.0,80.0,,80.0,,100.0,,100.0,,,70.0,80.0,110.0,80.0,100.0,80.0,120.0,,120.0,80.0,90.0,250.0,,100.0,100.0,,90.0,120.0,170.0,80.0,120.0,120.0,100.0,100.0,,140.0,70.0,80.0,100.0,50.0,100.0,,80.0,65.0,,50.0,90.0,120.0,90.0,120.0,180.0,,120.0,,80.0,,100.0,120.0,100.0,100.0,150.0,,90.0,120.0,90.0,150.0,,80.0
Habichuelas (Baguio Bean),KG,180.0,,110.0,200.0,120.0,200.0,,160.0,110.0,150.0,,80.0,,190.0,160.0,,140.0,,150.0,200.0,120.0,140.0,100.0,120.0,180.0,180.0,120.0,150.0,140.0,,180.0,140.0,,200.0,100.0,70.0,120.0,120.0,180.0,80.0,180.0,100.0,80.0,120.0,,100.0,,150.0,,140.0,,80.0,,80.0,,120.0,,120.0,,,100.0,,120.0,120.0,120.0,140.0,180.0,,160.0,140.0,140.0,120.0,,160.0,240.0,,200.0,200.0,120.0,180.0,200.0,220.0,160.0,200.0,,100.0,100.0,90.0,120.0,100.0,100.0,,,170.0,,80.0,160.0,100.0,110.0,100.0,140.0,,100.0,,100.0,,120.0,140.0,60.0,60.0,80.0,,180.0,120.0,80.0,150.0,,120.0
White Potato,10-12PCS/KG,120.0,60.0,130.0,150.0,100.0,120.0,,120.0,120.0,120.0,,70.0,,120.0,120.0,,120.0,100.0,120.0,130.0,120.0,100.0,120.0,60.0,,180.0,100.0,155.0,120.0,,140.0,80.0,,140.0,80.0,120.0,,70.0,100.0,80.0,150.0,100.0,100.0,120.0,100.0,70.0,,110.0,100.0,120.0,80.0,100.0,,120.0,,120.0,,120.0,,,80.0,120.0,140.0,100.0,80.0,120.0,110.0,,160.0,120.0,110.0,100.0,,180.0,150.0,,70.0,120.0,90.0,150.0,120.0,130.0,120.0,130.0,,100.0,90.0,110.0,90.0,70.0,120.0,,,100.0,,90.0,130.0,130.0,120.0,140.0,80.0,,150.0,,100.0,,100.0,120.0,60.0,60.0,80.0,,100.0,120.0,60.0,160.0,100.0,100.0
Pechay (Baguio),KG,80.0,,50.0,,70.0,120.0,,90.0,80.0,70.0,,60.0,40.0,60.0,,,80.0,50.0,60.0,100.0,80.0,60.0,50.0,65.0,60.0,70.0,60.0,,100.0,,140.0,80.0,100.0,100.0,60.0,,80.0,60.0,120.0,80.0,160.0,50.0,80.0,90.0,60.0,,,80.0,55.0,70.0,40.0,50.0,,60.0,,80.0,60.0,80.0,,,50.0,80.0,80.0,,70.0,70.0,60.0,,80.0,65.0,80.0,,,80.0,100.0,,50.0,120.0,75.0,100.0,100.0,100.0,70.0,100.0,,80.0,80.0,50.0,70.0,60.0,,,,50.0,,55.0,80.0,70.0,70.0,60.0,110.0,,70.0,,,,40.0,80.0,40.0,80.0,35.0,,70.0,60.0,60.0,80.0,,50.0
Chayote,KG,60.0,,40.0,120.0,60.0,100.0,,50.0,70.0,60.0,,40.0,30.0,50.0,,,60.0,60.0,50.0,50.0,60.0,50.0,50.0,40.0,60.0,65.0,70.0,110.0,60.0,,100.0,40.0,70.0,80.0,50.0,30.0,70.0,60.0,80.0,50.0,50.0,40.0,50.0,60.0,50.0,,,50.0,70.0,60.0,40.0,50.0,,60.0,,85.0,,70.0,80.0,,30.0,70.0,80.0,50.0,50.0,50.0,50.0,,80.0,60.0,50.0,,,40.0,70.0,,40.0,70.0,60.0,50.0,60.0,80.0,60.0,70.0,,50.0,30.0,50.0,70.0,50.0,50.0,,45.0,35.0,,40.0,70.0,70.0,50.0,50.0,80.0,,90.0,,40.0,,30.0,50.0,30.0,35.0,40.0,,50.0,,60.0,100.0,,40.0
Broccoli,MEDIUM (8-10CM DIAMETER/BUNCH HD),250.0,,,,,300.0,,200.0,,400.0,,,120.0,,,,,,,200.0,,,,,,200.0,150.0,,,,,,,300.0,200.0,70.0,,200.0,,,,,,,,,,,,,,120.0,,,,,,140.0,,,,,210.0,120.0,,120.0,100.0,,,,,,,,300.0,,,,,,,,,,,120.0,,100.0,160.0,120.0,,,80.0,160.0,,90.0,,,120.0,140.0,,,150.0,,,,,,70.0,,95.0,,,150.0,,,,
Cauliflower,MEDIUM (8-10CM DIAMETER/BUNCH HD),,,,,,,,220.0,,180.0,,,,230.0,,,,,,230.0,,160.0,,,,100.0,100.0,,,,,,,300.0,110.0,80.0,,200.0,,,,,80.0,,,,,160.0,,,,80.0,120.0,,,,,120.0,,,,200.0,180.0,180.0,,220.0,150.0,,,,,200.0,,,,,,,,,,,,,,120.0,,100.0,130.0,100.0,120.0,,80.0,120.0,,60.0,,,,120.0,,,150.0,,,,100.0,200.0,50.0,,80.0,,,60.0,,,,
Bell Pepper (Green),MEDIUM (151-250GM/PC),300.0,,,300.0,,280.0,,,,300.0,,,140.0,,,,,,,200.0,,250.0,,,,200.0,250.0,,,,,,,,,,,400.0,,,,,350.0,,,,,200.0,,,,,180.0,,,,,250.0,,,,250.0,250.0,140.0,200.0,250.0,400.0,,,360.0,,450.0,,,250.0,,,,,,,,,,,150.0,,,220.0,120.0,,,,130.0,,250.0,,,,200.0,,,150.0,,150.0,,,,,200.0,200.0,,,300.0,,350.0,,
Bell Pepper (Red),MEDIUM (151-250GM/PC),250.0,100.0,,220.0,,250.0,,200.0,,,,,140.0,,200.0,,,,200.0,250.0,,250.0,,,,200.0,250.0,,240.0,,,,,300.0,200.0,,,400.0,,,,,,,,,,200.0,,,,,,,,250.0,,250.0,,,,200.0,250.0,140.0,200.0,250.0,400.0,,300.0,360.0,,,,,250.0,,,,,,,,,,,150.0,,170.0,160.0,120.0,,,,130.0,,250.0,250.0,,,200.0,,,150.0,,,,,200.0,160.0,,150.0,,250.0,150.0,,350.0,,
